tipo_credito,fecha_prestamo,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo
4,4/08/2025 12:04,1671242,6,48,Empleado,1524547,498000,252420,95.227787,837.0,4,4,0.0,26687.362,15782.0,0.0,3,0,0,1536193,Creciente,1
9,26/04/2025 11:24,2781637,11,44,Empleado,5000000,4000000,217037,95.227787,771.0,4,6,0.0,239415.876,204804.0,0.0,3,0,1,933473,Creciente,1
4,9/08/2025 13:00,3064280,6,68,Independiente,1000000,22005000,461231,95.227787,814.0,11,8,0.0,18212.65,211775.0,0.0,6,3,0,969508,Creciente,1
9,30/05/2025 09:11,2134828,10,31,Empleado,14500000,8000000,181732,95.227787,737.0,0,2,0.0,0,,,0,0,0,14007850,Creciente,1
4,31/12/2024 14:32,8400002,6,45,Empleado,14000000,5000000,1166667,95.227787,752.0,4,3,0.0,203496.609,125383.0,0.0,2,0,0,28889623,Creciente,1
4,15/03/2025 12:03,4284001,8,66,Independiente,8000000,2400000,486710,95.227787,809.0,5,4,0.0,35118.118,34874.0,0.0,3,0,1,916148,Creciente,1
4,4/04/2025 10:21,4344001,6,43,Independiente,20000000,10000000,645827,95.227787,838.0,5,1,0.0,4066.749,4223.0,0.0,2,1,1,1000000,Estable,1
4,15/06/2025 16:25,1200002,6,68,Empleado,4000000,2500000,178476,49.161959,766.0,4,3,0.0,11581.758,7506.0,0.0,1,0,0,,,0
4,15/02/2025 13:10,2672402,12,42,Independiente,6000000,2000000,209955,95.227787,798.0,6,1,0.0,53163.396,29601.0,0.0,4,0,0,,,1
9,30/04/2025 16:38,878880,5,49,Independiente,5000000,2000000,142664,95.227787,820.0,13,12,0.0,-6482.404,18861.0,0.0,6,0,4,941789,Creciente,1
9,5/04/2025 10:15,821209,2,61,Independiente,5000000,2000000,323844,46.387527,853.0,7,3,0.0,31896.928,29344.0,0.0,5,0,1,66667,Estable,0
4,21/01/2025 17:09,1200000,6,57,Empleado,3000000,1000000,166667,95.227787,780.0,1,2,0.0,17.907,141.0,0.0,0,0,0,6703319,Creciente,1
4,12/04/2025 15:32,2301031,10,42,Independiente,10600000,0,213136,95.227787,782.0,8,5,0.0,83381.184,63456.0,0.0,3,0,4,,,1
4,8/04/2025 15:45,1199880,6,39,Empleado,1200000,500000,178377,95.227787,834.0,3,0,0.0,-2.847,39.0,0.0,1,0,0,1023333,Creciente,1
4,10/01/2025 14:03,1499642,12,57,Independiente,4000000,1400000,117664,95.227787,828.0,8,2,0.0,127236.502,58662.0,0.0,3,1,1,908526,Estable,1
4,18/02/2025 11:35,2014699,10,55,Independiente,1400000,600000,186892,95.227787,800.0,1,2,0.0,-19.726,1409.0,0.0,0,0,1,,,1
4,18/12/2024 17:03,5230200,12,42,Independiente,5000000,1000000,410396,95.227787,820.0,7,2,0.0,-265.864,668.0,0.0,1,0,2,908526,Estable,1
