tipo_credito,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,prediction,timestamp
4,5397722,6,35,Empleado,7000000,1000000,802485,788.0,2,2,0.0,49811.294,734.0,0.0,0,0,2,4966666.0,Creciente,0.895796000957489,2026-07-23 12:52:33.249801
10,4656227,12,49,Independiente,5000000,1200000,365783,776.0,8,6,0.0,46125.45,43929.0,0.0,5,0,1,,,0.7121138572692871,2026-07-23 12:52:33.249801
4,2520002,6,38,Empleado,3441000,1500000,374651,814.0,6,0,0.0,154075.114,91766.0,0.0,4,0,2,,,0.9686381816864014,2026-07-23 12:52:33.249801
4,2849282,12,29,Empleado,6400000,2000000,223283,723.0,9,10,0.0,116125.212,73871.0,0.0,6,0,1,3437040.0,Creciente,0.16863852739334106,2026-07-23 12:52:33.249801
4,3174962,12,27,Independiente,4500000,1000000,249128,740.0,9,11,0.0,91846.876,56417.0,0.0,5,0,3,923771.0,Estable,0.6002655029296875,2026-07-23 12:52:33.249801
4,2880001,12,44,Empleado,3800000,650000,200000,758.0,15,5,0.0,33950.12,29912.0,0.0,5,0,3,3525834.0,Creciente,0.8361542820930481,2026-07-23 12:52:33.249801
4,1247881,12,32,Empleado,1500000,700000,86658,755.0,10,9,0.0,20674.6,16700.0,0.0,1,0,7,978417.0,Creciente,0.7337590456008911,2026-07-23 12:52:33.249801
9,5918056,10,122,Empleado,17294657,4765888,546735,0.0,0,0,,0.0,,,0,0,0,,,0.7545750737190247,2026-07-23 12:52:33.249801
9,1382758,7,62,Empleado,4500000,3000000,163360,797.0,6,5,0.0,347680.311,306867.0,0.0,3,1,0,,,0.723675012588501,2026-07-23 12:52:33.249801
4,2249640,12,51,Empleado,2100000,200000,176961,872.0,5,3,0.0,2239.068,5556.0,0.0,2,0,1,925157.0,Creciente,0.9743862152099609,2026-07-23 12:52:33.249801
4,537362,12,47,Empleado,1000000,600000,37317,807.0,2,2,0.0,2566.026,1402.0,0.0,0,2,0,,,0.9681066274642944,2026-07-23 12:52:33.249801
9,821210,2,51,Independiente,5000000,2000000,324034,796.0,10,3,0.0,23025.702,13657.0,0.0,2,0,4,1165666.0,Creciente,0.9371073246002197,2026-07-23 12:52:33.249801
4,1568520,6,43,Empleado,2000000,500000,232809,789.0,8,3,0.0,-5291.288,17756.0,0.0,3,0,1,917673.0,Creciente,0.9191763401031494,2026-07-23 12:52:33.249801
9,1897142,11,67,Empleado,3100000,1000000,147771,893.0,3,3,0.0,-3546.508,22028.0,0.0,2,0,0,908526.0,Creciente,0.9192308187484741,2026-07-23 12:52:33.249801
4,590400,12,51,Empleado,1000000,300000,46327,758.0,13,6,0.0,-37631.521,84947.0,0.0,4,0,4,923771.0,Creciente,0.9289218187332153,2026-07-23 12:52:33.249801
9,2027919,9,30,Empleado,5000000,1000000,189571,799.0,5,3,0.0,959.148,1494.0,0.0,4,0,0,4250000.0,Creciente,0.9656179547309875,2026-07-23 12:52:33.249801
4,366421,6,52,Independiente,2500000,1000000,54329,775.0,5,0,0.0,5151.12,9906.0,0.0,3,0,2,,,0.8891561031341553,2026-07-23 12:52:33.249801
4,2893801,18,26,Empleado,3000000,500000,159594,747.0,10,9,0.0,11734.128,13304.0,0.0,4,0,4,,,0.7721489667892456,2026-07-23 12:52:33.249801
4,960002,12,28,Empleado,2200000,500000,77087,810.0,8,3,0.0,74489.296,984.0,0.0,2,2,3,2249122.0,Decreciente,0.9628905653953552,2026-07-23 12:52:33.249801
4,1872000,12,39,Independiente,30285,663000,151265,803.0,4,3,0.0,-4486.364,16138.0,0.0,3,0,0,30285.0,Estable,0.8937475085258484,2026-07-23 12:52:33.249801
4,1200001,6,33,Empleado,3333333,2100000,166667,815.0,3,4,0.0,6621.921,12759.0,0.0,1,0,1,3024136.0,Decreciente,0.8445380330085754,2026-07-23 12:52:33.249801
4,864000,6,26,Empleado,1100000,0,128966,792.0,3,5,0.0,2169.786,4357.0,0.0,2,1,0,1061416.0,Decreciente,0.9050520658493042,2026-07-23 12:52:33.249801
4,7300000,12,32,Independiente,3000000,2000000,574469,764.0,2,7,0.0,3370.535,9085.0,0.0,1,1,0,,,0.22610077261924744,2026-07-23 12:52:33.249801
4,459120,6,59,Independiente,1100000,500000,68304,870.0,3,2,0.0,0.0,0.0,0.0,1,0,0,1105623.0,Creciente,0.8723560571670532,2026-07-23 12:52:33.249801
9,1087910,10,49,Empleado,2500000,1200000,92417,831.0,4,2,0.0,2556.806,2534.0,0.0,3,0,0,,,0.9803392291069031,2026-07-23 12:52:33.249801
4,1384977,6,65,Empleado,3000000,2000000,208690,809.0,3,2,0.0,296.005,1117.0,0.0,0,2,1,958420.0,Creciente,0.9606779217720032,2026-07-23 12:52:33.249801
9,3044310,10,33,Empleado,5000000,1500000,259833,850.0,6,4,0.0,36986.97,113110.0,0.0,5,0,0,3248378.0,Decreciente,0.9595774412155151,2026-07-23 12:52:33.249801
4,645481,6,41,Empleado,2200000,455000,96348,756.0,13,4,0.0,6255.843,3223.0,0.0,4,0,8,2100000.0,Creciente,0.967972457408905,2026-07-23 12:52:33.249801
9,1761703,5,29,Empleado,4685833,861000,286549,887.0,5,5,0.0,29481.795,34083.0,0.0,4,0,1,6425333.0,Creciente,0.9363829493522644,2026-07-23 12:52:33.249801
9,2793992,9,42,Empleado,4000000,2000000,261184,825.0,7,3,0.0,948.225,1345.0,0.0,4,0,1,2587500.0,Creciente,0.9904975295066833,2026-07-23 12:52:33.249801
4,2435160,6,52,Independiente,10000000,1700000,361183,860.0,7,3,0.0,-19085.56,66040.0,0.0,6,0,1,7955333.0,Creciente,0.9389000535011292,2026-07-23 12:52:33.249801
